iter	MultiClass
0	2.69642413
1	2.645646378
2	2.600855044
3	2.563880981
4	2.530259008
5	2.502377486
6	2.476467906
7	2.452477582
8	2.432315418
9	2.414926335
10	2.397573954
11	2.381242379
12	2.366859893
13	2.353492772
14	2.340758391
15	2.329789688
16	2.318157568
17	2.308050936
18	2.297823164
19	2.288641606
20	2.280150131
21	2.272752818
22	2.265108276
23	2.258255241
24	2.252047527
25	2.2460278
26	2.240830408
27	2.235404562
28	2.230259808
29	2.225837619
30	2.221791402
31	2.217297074
32	2.213298447
33	2.209370472
34	2.205789069
35	2.202454475
36	2.199552842
37	2.196464732
38	2.193571346
39	2.191068935
40	2.188270573
41	2.185736001
42	2.183574999
43	2.181433596
44	2.179452044
45	2.177392406
46	2.175616872
47	2.174008179
48	2.172207257
49	2.170462277
50	2.168671477
51	2.16735671
52	2.16588545
53	2.16442579
54	2.163231048
55	2.162149874
56	2.160962717
57	2.159727268
58	2.158707463
59	2.157565841
60	2.156677584
61	2.155528441
62	2.154676162
63	2.153676807
64	2.153085547
65	2.151983048
66	2.151229868
67	2.150469669
68	2.149768385
69	2.148910997
70	2.148225913
71	2.147662228
72	2.147200265
73	2.146669764
74	2.146146924
75	2.145549274
76	2.145076769
77	2.144354497
78	2.143867507
79	2.143208078
80	2.142594684
81	2.14197275
82	2.141487654
83	2.141138333
84	2.140599049
85	2.140168977
86	2.13947946
87	2.138859977
88	2.138386234
89	2.138085021
90	2.13768339
91	2.137404259
92	2.137021472
93	2.136600724
94	2.136031398
95	2.135169528
96	2.134852254
97	2.134504845
98	2.134135616
99	2.133797991
100	2.133407154
101	2.133012484
102	2.132604205
103	2.131947836
104	2.131594428
105	2.131197245
106	2.130950484
107	2.130594257
108	2.130258033
109	2.129984931
110	2.129665313
111	2.129315555
112	2.12895927
113	2.128642972
114	2.128416925
115	2.128109667
116	2.127726239
117	2.127470052
118	2.127169251
119	2.12683104
120	2.126544959
121	2.126225003
122	2.125807347
123	2.125555965
124	2.125048269
125	2.124745882
126	2.124408776
127	2.124096778
128	2.123943843
129	2.123671613
130	2.123412272
131	2.123241995
132	2.122885422
133	2.122589275
134	2.122227277
135	2.121853808
136	2.121442453
137	2.121258454
138	2.121009894
139	2.120728111
140	2.120189832
141	2.119867358
142	2.119575241
143	2.119362746
144	2.119156584
145	2.11898023
146	2.118716266
147	2.11819571
148	2.117956081
149	2.117821243
150	2.117670467
151	2.117394378
152	2.117100823
153	2.116766975
154	2.11646264
155	2.116146522
156	2.115936378
157	2.115691911
158	2.115466342
159	2.115252537
160	2.115103295
161	2.114962986
162	2.114633524
163	2.114211408
164	2.11402775
165	2.113823314
166	2.113675436
167	2.113390597
168	2.11324695
169	2.113067444
170	2.112816519
171	2.112645096
172	2.11240115
173	2.112026362
174	2.111770524
175	2.111568606
176	2.111250443
177	2.111016654
178	2.110799928
179	2.110452694
180	2.110201781
181	2.109861912
182	2.109657245
183	2.109471144
184	2.109228714
185	2.109048728
186	2.108882568
187	2.108668864
188	2.108426486
189	2.108244668
190	2.10801763
191	2.107783175
192	2.107639832
193	2.10746954
194	2.107167999
195	2.106924529
196	2.10673932
197	2.106572521
198	2.10643119
199	2.106272206
200	2.106074534
201	2.105897751
202	2.105735958
203	2.105529422
204	2.105299353
205	2.105168887
206	2.104968152
207	2.104707321
208	2.104620766
209	2.104467059
210	2.104338969
211	2.10418376
212	2.104022504
213	2.103903675
214	2.103631861
215	2.103382029
216	2.103276103
217	2.103100138
218	2.102942512
219	2.102771744
220	2.102535936
221	2.10239946
222	2.102238254
223	2.102033062
224	2.101837339
225	2.101718351
226	2.101591547
227	2.10144359
228	2.101299468
229	2.101210634
230	2.101049279
231	2.100942753
232	2.100775788
233	2.10065767
234	2.100549385
235	2.100393458
236	2.100249334
237	2.100087233
238	2.099929081
239	2.099662639
240	2.099495049
241	2.099241142
242	2.099027166
243	2.09893273
244	2.098748306
245	2.098578727
246	2.09839811
247	2.098206505
248	2.098069649
249	2.097944968
250	2.097562512
251	2.097413174
252	2.097289881
253	2.097153007
254	2.09699729
255	2.096737089
256	2.096562524
257	2.09646666
258	2.096285596
259	2.096081106
260	2.095958064
261	2.095738035
262	2.095617821
263	2.095398114
264	2.095213526
265	2.09509448
266	2.094954471
267	2.094848029
268	2.094515112
269	2.094250908
270	2.094092565
271	2.094000121
272	2.093684684
273	2.093546756
274	2.093325791
275	2.093118987
276	2.092990307
277	2.092881915
278	2.092735698
279	2.092635218
280	2.092538034
281	2.092393919
282	2.092189289
283	2.092041951
284	2.091788179
285	2.091579394
286	2.091353434
287	2.091103565
