iter	Passed	Remaining
0	3489	1741205
1	7167	1784669
2	10834	1794956
3	14476	1795069
4	18106	1792546
5	21845	1798622
6	25384	1787794
7	29000	1783548
8	32539	1775208
9	36170	1772364
10	39795	1769097
11	43387	1764427
12	46984	1760093
13	50621	1757302
14	54222	1753188
15	57847	1749877
16	61488	1746992
17	65179	1745372
18	68892	1744080
19	72751	1746034
20	76518	1745342
21	80326	1745274
22	84123	1744650
23	87884	1743041
24	91547	1739404
25	95272	1736899
26	99035	1734949
27	102741	1731921
28	106419	1728407
29	110110	1725066
30	113730	1720637
31	117371	1716562
32	121030	1712767
33	124762	1709977
34	128449	1706537
35	132193	1703832
36	135891	1700484
37	139585	1697065
38	143370	1694710
39	147118	1691859
40	150884	1689172
41	154632	1686226
42	158445	1683944
43	162170	1680677
44	165884	1677281
45	169588	1673765
46	173508	1672322
47	177170	1668355
48	180839	1664460
49	184586	1661278
50	188254	1657374
51	192081	1654852
52	195735	1650824
53	199362	1646588
54	202904	1641684
55	206548	1637638
56	210188	1633571
57	213778	1629142
58	217420	1625128
59	220964	1620406
60	224503	1615687
61	228021	1610862
62	231545	1606116
63	235053	1601299
64	238633	1597010
65	242176	1592495
66	245733	1588099
67	249302	1583803
68	252987	1580253
69	256563	1576034
70	260303	1572822
71	263917	1568843
72	269467	1576199
73	274587	1580734
74	278708	1579348
75	282350	1575219
76	292221	1605318
77	296971	1606694
78	299643	1596834
79	301845	1584690
80	304232	1573747
81	306487	1562339
82	308729	1551085
83	310941	1539898
84	313242	1529360
85	315631	1519436
86	317919	1509201
87	320252	1499365
88	322600	1489759
89	324901	1480105
90	327130	1470290
91	329470	1461129
92	331654	1451433
93	333805	1441755
94	336019	1432502
95	338346	1423874
96	340736	1415635
97	343132	1407544
98	345497	1399440
99	347845	1391380
100	352243	1391534
101	354582	1383568
102	356934	1375755
103	359258	1367944
104	361443	1359715
105	363680	1351793
106	366108	1344677
107	368461	1337380
108	370744	1329918
109	373139	1322949
110	375478	1315867
111	377850	1308982
112	380071	1301660
113	382254	1294301
114	384766	1288129
115	387245	1281915
116	389840	1276144
117	392306	1270009
118	394393	1262723
119	397591	1259040
120	400701	1255088
121	402923	1248402
122	405028	1241428
123	407229	1234823
124	409394	1228184
125	411587	1221695
126	413892	1215604
127	416111	1209324
128	418469	1203505
129	420739	1197488
130	423107	1191806
131	425305	1185701
132	427584	1179876
133	430019	1174531
134	432451	1169219
135	434813	1163765
136	437296	1158677
137	439665	1153325
138	441804	1147421
139	446175	1147308
140	448428	1141742
141	450634	1136107
142	452785	1130379
143	455032	1124942
144	457248	1119470
